trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
S000002_001.trj,1207.90,196.24,247.28,0.00,1.80,2.70,15.35,8.59,-0.62,-3.03,4.67,-8.60,6:17,lane change,10.74,272.96,646,4,1,4.99,2.12,278.56,6.90,3.92,195.02,255.83,197.89,236.77,651,4,2,4.32,2.06,269.96,15.35,4.67,198.04,296.12,198.02,251.21,0.00,99.00,0.08,
S000002_001.trj,1220.80,198.01,242.45,0.00,1.80,2.70,3.37,3.35,-2.29,-3.51,1.73,0.00,6:00,rear end,1.75,269.96,651,4,2,4.32,2.06,269.96,0.02,1.73,198.01,242.62,197.99,214.01,656,4,2,4.50,2.11,269.96,3.37,1.62,198.02,252.80,198.01,238.23,1.00,0.30,99.00,
S000002_001.trj,1222.20,203.73,149.71,0.00,2.60,3.10,7.66,6.27,-2.69,-3.05,3.15,0.00,5:59,rear end,4.55,89.99,653,3,2,4.59,2.04,89.99,1.39,3.15,203.73,149.39,203.74,177.60,655,3,2,4.50,2.11,89.99,7.66,3.11,203.73,128.90,203.74,154.18,1.00,0.30,99.00,
S000002_001.trj,1221.30,194.74,294.43,0.00,2.50,1.60,13.42,1.60,-0.90,-2.21,0.83,-0.74,6:01,rear end,12.59,269.60,657,4,1,4.14,2.08,269.96,13.42,0.83,194.74,294.43,194.71,247.10,660,4,2,4.59,2.04,269.22,11.83,0.77,197.41,316.38,196.60,257.43,0.00,99.00,99.00,
S000002_001.trj,1224.40,194.71,246.70,0.00,1.70,1.30,5.70,5.30,-2.19,-2.19,2.92,0.00,5:59,rear end,2.78,269.96,652,4,1,4.99,2.12,269.96,0.40,2.39,194.71,247.94,194.70,231.88,657,4,1,4.14,2.08,269.96,5.70,2.92,194.72,261.01,194.71,242.15,0.00,99.00,1.00,
S000002_001.trj,1233.20,138.16,188.54,0.00,1.70,2.70,14.72,1.27,-0.53,-3.01,0.65,1.26,5:57,rear end,14.08,0.63,662,1,1,4.75,2.03,359.99,13.49,0.61,136.82,188.54,168.70,188.53,665,1,1,4.41,2.05,1.25,14.72,0.65,94.44,188.55,157.61,189.93,0.00,99.00,99.00,
S000002_001.trj,1241.20,250.97,197.88,0.00,2.50,2.50,14.97,0.37,-0.51,-2.89,0.19,1.39,5:57,rear end,14.94,180.67,670,2,2,4.50,2.11,179.99,14.91,0.18,262.15,197.88,227.90,197.88,671,2,1,4.41,2.05,181.38,14.97,0.19,296.68,201.17,251.83,200.09,0.00,99.00,0.10,
S000002_001.trj,1266.60,194.72,251.56,0.00,1.80,2.70,14.81,2.08,0.00,-3.21,1.18,1.36,5:57,lane change,13.64,270.60,681,4,1,4.99,2.12,269.96,12.75,0.90,194.72,252.82,194.70,222.90,682,4,1,4.20,1.91,271.33,14.81,1.18,194.74,295.59,196.20,232.64,0.00,99.00,99.00,
S000002_001.trj,1267.40,155.08,188.54,0.00,2.40,4.20,1.46,1.44,-1.56,-1.56,0.76,0.00,6:00,rear end,0.70,359.99,674,1,1,4.78,2.02,359.99,0.02,0.68,155.06,188.54,165.54,188.54,680,1,1,4.33,1.99,359.99,1.46,0.76,147.05,188.54,150.60,188.54,1.00,0.50,99.00,
S000002_001.trj,1270.50,196.41,230.92,0.00,1.80,2.70,14.43,4.93,-0.54,-3.07,2.68,-6.25,6:12,lane change,11.82,272.75,682,4,1,4.20,1.91,276.21,9.67,2.24,195.24,241.23,197.97,216.18,685,4,2,3.56,1.88,269.96,14.43,2.68,198.03,281.69,198.00,225.65,0.00,99.00,0.16,
S000002_001.trj,1272.90,198.01,248.25,0.00,2.10,3.00,15.58,3.68,-0.54,-3.05,2.17,0.00,6:00,rear end,14.07,269.96,685,4,2,3.56,1.88,269.96,11.90,2.17,198.01,248.25,198.00,222.22,687,4,2,4.78,2.02,269.96,15.58,1.51,198.04,295.40,198.00,233.18,0.00,99.00,0.15,
S000002_001.trj,1274.10,198.03,276.71,0.00,2.40,1.80,15.58,2.02,-0.53,-3.07,1.06,0.00,6:00,rear end,14.52,269.96,687,4,2,4.78,2.02,269.96,15.58,1.06,198.03,276.71,198.00,234.66,688,4,2,4.99,2.12,269.96,13.56,0.97,198.05,305.49,198.02,254.69,0.00,99.00,0.11,
S000002_001.trj,1304.40,203.74,174.76,0.00,2.00,3.10,2.50,2.27,-1.89,-1.89,1.20,0.60,5:59,rear end,1.29,90.54,695,3,2,4.99,2.12,89.99,0.23,1.07,203.74,174.67,203.74,186.26,696,3,2,4.59,2.04,90.59,2.50,1.20,203.80,165.49,203.75,170.02,0.75,0.40,99.00,
S000002_001.trj,1306.70,207.04,169.03,0.00,1.80,2.30,4.84,4.47,-2.81,-4.58,2.23,0.00,5:59,rear end,2.61,89.99,689,3,1,4.41,2.05,89.99,0.38,2.23,207.04,168.77,207.04,176.42,698,3,1,4.41,2.05,89.99,4.84,2.23,207.04,156.73,207.04,164.70,1.00,0.30,99.00,
S000002_001.trj,1310.50,194.71,235.26,0.00,3.00,3.90,8.10,7.72,-1.68,-1.68,4.18,0.01,5:59,rear end,4.56,269.96,697,4,1,4.20,1.91,269.96,0.38,4.18,194.71,235.60,194.70,223.11,701,4,1,4.50,2.11,269.96,8.10,3.54,194.72,262.99,194.71,239.35,0.00,99.00,1.43,
