trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
S000001_001.trj,1208.00,194.71,242.12,0.00,0.00,0.00,10.21,1.81,-1.67,-2.83,0.98,3.31,5:53,lane change,9.42,271.91,644,4,1,4.32,2.06,269.96,8.48,0.98,194.72,255.82,194.71,242.12,646,4,1,4.99,2.12,273.28,10.21,0.83,194.73,272.98,196.23,246.71,0.00,99.00,99.00,
S000001_001.trj,1207.90,196.13,247.35,0.00,1.80,2.80,15.43,8.89,-0.22,-2.94,4.83,-9.01,6:18,lane change,10.65,273.03,646,4,1,4.99,2.12,278.98,6.68,4.06,195.01,254.95,197.87,236.89,651,4,2,4.32,2.06,269.96,15.43,4.83,198.04,293.85,198.01,250.81,0.00,99.00,0.08,
S000001_001.trj,1221.20,198.01,242.99,0.00,1.90,3.40,2.45,2.45,-2.06,-2.06,1.27,-0.01,6:00,rear end,1.27,269.96,651,4,2,4.32,2.06,269.98,0.00,1.27,198.01,243.00,198.01,231.11,656,4,2,4.50,2.11,269.96,2.45,1.19,198.02,251.93,198.01,247.32,1.00,0.30,99.00,
S000001_001.trj,1221.90,207.03,148.36,0.00,2.20,3.50,2.31,2.19,-3.35,-3.35,1.10,0.00,6:00,rear end,1.21,89.99,636,3,1,4.75,2.03,89.99,0.13,1.08,207.03,148.27,207.04,158.52,655,3,1,4.50,2.11,89.99,2.31,1.10,207.03,138.88,207.03,143.80,1.00,0.40,99.00,
S000001_001.trj,1221.40,203.73,147.39,0.00,2.30,4.20,1.40,1.40,-1.62,-1.62,0.74,0.00,6:00,rear end,0.74,89.99,653,3,2,4.59,2.04,89.99,0.00,0.74,203.73,147.39,203.74,159.10,654,3,2,4.99,2.12,89.99,1.40,0.66,203.73,139.39,203.73,142.83,0.50,0.50,99.00,
S000001_001.trj,1224.30,198.01,247.55,0.00,2.30,2.20,9.52,8.80,-1.01,-3.09,4.43,0.00,6:00,rear end,5.09,269.96,656,4,2,4.50,2.11,269.96,0.72,4.37,198.01,249.31,198.01,235.82,660,4,2,4.59,2.04,269.96,9.52,4.43,198.03,280.10,198.02,251.88,0.00,99.00,0.08,
S000001_001.trj,1224.20,194.71,247.53,0.00,2.20,2.70,4.75,3.90,-3.10,-3.64,2.12,0.00,6:00,rear end,2.63,269.96,652,4,1,4.99,2.12,269.96,0.86,1.78,194.71,247.62,194.70,229.44,657,4,1,4.32,2.06,269.96,4.75,2.12,194.72,260.65,194.71,244.90,1.00,0.30,99.00,
S000001_001.trj,1237.10,164.65,191.84,0.00,2.30,3.30,13.69,3.65,-0.53,-3.06,1.88,0.00,6:00,rear end,11.92,359.99,665,1,2,4.41,2.05,359.99,10.04,1.88,162.70,191.84,182.00,191.83,669,1,2,4.75,2.03,359.99,13.69,1.76,117.32,191.84,171.70,191.83,0.00,99.00,0.15,
S000001_001.trj,1241.20,250.97,197.88,0.00,2.50,2.50,14.97,0.37,-0.51,-2.89,0.19,1.39,5:57,rear end,14.94,180.67,670,2,2,4.50,2.11,179.99,14.91,0.18,262.15,197.88,227.90,197.88,671,2,1,4.41,2.05,181.38,14.97,0.19,296.67,201.17,251.82,200.09,0.00,99.00,0.11,
S000001_001.trj,1266.90,154.70,188.54,0.00,2.10,3.50,2.42,2.36,-3.53,-3.53,1.18,-13.00,6:26,lane change,1.24,0.27,673,1,1,4.33,1.99,12.95,0.06,1.18,154.58,188.54,164.45,190.81,680,1,1,4.33,1.99,359.95,2.42,1.18,145.49,188.54,150.52,188.54,1.00,0.40,99.00,
S000001_001.trj,1266.60,194.72,251.35,0.00,1.80,2.70,14.81,2.08,-0.20,-3.23,1.18,1.37,5:57,lane change,13.62,270.60,681,4,1,4.99,2.12,269.96,12.74,0.90,194.72,252.61,194.70,222.88,682,4,1,4.20,1.91,271.33,14.79,1.18,194.74,295.25,196.20,232.42,0.00,2.10,0.11,
S000001_001.trj,1270.50,196.41,230.71,0.00,1.80,2.70,14.43,4.99,-0.54,-3.07,2.72,-6.33,6:13,lane change,11.78,272.77,682,4,1,4.20,1.91,276.29,9.61,2.27,195.24,240.94,197.97,216.23,685,4,2,3.56,1.88,269.96,14.43,2.72,198.03,281.69,198.00,226.40,0.00,99.00,0.16,
S000001_001.trj,1272.20,198.01,248.25,0.00,2.20,3.00,15.58,3.68,-0.56,-3.16,2.17,0.00,6:00,rear end,14.07,269.96,685,4,2,3.56,1.88,269.96,11.90,2.17,198.01,248.25,198.00,222.22,687,4,2,4.78,2.02,269.96,15.58,1.51,198.04,295.62,198.00,232.96,0.00,99.00,99.00,
S000001_001.trj,1274.00,198.03,272.27,0.00,2.40,1.80,15.58,2.01,-0.53,-3.08,1.05,0.00,6:00,rear end,14.53,269.96,687,4,2,4.78,2.02,269.96,15.58,1.05,198.03,276.93,198.01,235.53,688,4,2,4.99,2.12,269.96,13.57,0.96,198.05,305.47,198.02,256.73,0.00,99.00,0.21,
S000001_001.trj,1304.40,203.74,174.76,0.00,2.00,3.10,2.50,2.28,-1.89,-1.89,1.21,0.60,5:59,rear end,1.30,90.54,695,3,2,4.99,2.12,89.99,0.23,1.07,203.74,174.67,203.74,186.26,696,3,2,4.59,2.04,90.59,2.50,1.21,203.80,165.48,203.75,170.02,1.00,0.40,99.00,
S000001_001.trj,1306.70,207.04,169.03,0.00,1.80,2.30,4.84,4.47,-2.81,-4.58,2.23,0.00,6:00,rear end,2.61,89.99,689,3,1,4.41,2.05,89.99,0.38,2.23,207.04,168.77,207.04,176.42,698,3,1,4.41,2.05,89.99,4.84,2.23,207.04,156.73,207.04,164.67,1.00,0.30,99.00,
S000001_001.trj,1312.00,198.01,241.43,0.00,2.20,2.70,6.54,5.96,-2.86,-3.76,3.10,0.00,6:00,rear end,3.44,269.96,693,4,2,4.75,2.03,269.96,0.58,2.86,198.01,241.85,197.99,211.89,702,4,2,4.32,2.06,269.96,6.54,3.10,198.02,258.91,198.01,236.98,1.00,0.30,99.00,
S000001_001.trj,1339.10,207.03,173.81,0.00,3.00,1.60,12.35,4.55,-1.32,-1.56,2.33,7.84,5:44,lane change,10.10,91.18,717,3,1,4.41,2.05,86.51,8.01,2.22,207.02,173.02,207.64,183.20,718,3,1,4.33,1.99,94.35,12.35,2.33,207.03,147.81,205.38,169.51,0.00,99.00,99.00,
S000001_001.trj,1352.60,176.22,191.81,0.00,0.00,0.00,4.86,0.69,2.37,2.37,0.35,-22.21,6:44,lane change,0.36,339.01,710,1,2,4.50,2.11,0.62,0.02,0.35,175.42,191.80,176.22,191.81,716,1,2,4.50,2.11,338.41,0.71,0.35,168.93,191.61,171.74,190.49,0.25,99.00,99.00,
S000001_001.trj,1349.80,220.07,197.88,0.00,2.80,3.40,11.14,11.01,-2.86,-2.86,5.83,5.22,5:50,lane change,5.96,185.16,720,2,2,4.20,1.91,179.99,0.13,5.83,220.13,197.88,206.03,197.89,722,2,1,4.41,2.05,185.21,11.14,5.18,257.29,201.18,223.87,198.13,0.00,99.00,99.00,
S000001_001.trj,1353.60,194.71,239.91,0.00,1.80,2.90,15.04,3.39,-0.56,-3.22,1.77,0.00,6:00,rear end,13.42,269.96,723,4,1,4.75,2.03,269.96,11.65,1.77,194.71,242.18,194.69,216.38,728,4,1,4.99,2.12,269.96,15.04,1.62,194.74,288.32,194.70,225.44,0.00,1.40,0.25,
S000001_001.trj,1381.50,194.73,268.89,0.00,1.30,2.70,14.86,1.56,-0.54,-3.09,0.79,0.00,6:00,rear end,14.07,269.96,740,4,1,4.75,2.03,269.96,13.30,0.77,194.73,268.89,194.71,236.73,742,4,1,4.50,2.11,269.96,14.86,0.79,194.75,311.57,194.71,243.76,0.00,2.70,0.09,
S000001_001.trj,1397.90,155.87,188.54,0.00,1.80,2.90,14.27,2.35,-0.53,-3.01,1.24,0.00,6:00,rear end,13.16,359.99,749,1,1,4.50,2.11,359.99,11.92,1.24,155.87,188.54,181.70,188.53,751,1,1,4.99,2.12,359.99,14.27,1.11,111.71,188.55,171.57,188.53,0.00,1.80,0.22,
S000001_001.trj,1398.10,130.26,188.54,0.00,3.00,1.40,14.53,0.26,-0.55,-2.39,0.14,0.00,6:00,rear end,14.39,359.99,751,1,1,4.99,2.12,359.99,14.27,0.12,130.26,188.54,156.59,188.54,752,1,1,4.59,2.04,359.99,14.53,0.14,105.72,188.55,135.93,188.54,0.00,99.00,0.41,
S000001_001.trj,1402.20,118.40,188.54,0.00,3.00,1.50,15.11,1.20,-0.56,-1.41,0.62,0.00,5:59,rear end,14.49,359.99,755,1,1,4.50,2.11,359.99,13.91,0.58,118.40,188.54,137.83,188.54,758,1,1,4.32,2.06,359.99,15.11,0.62,91.64,188.55,114.27,188.54,0.00,99.00,0.05,
S000001_001.trj,1402.10,144.61,188.54,0.00,1.60,3.10,13.91,2.60,-0.53,-3.04,1.31,0.00,6:00,rear end,12.62,359.99,752,1,1,4.59,2.04,359.99,11.32,1.31,144.61,188.54,167.94,188.54,755,1,1,4.50,2.11,359.99,13.91,1.29,100.32,188.55,159.55,188.54,0.00,99.00,0.13,
S000001_001.trj,1402.40,151.96,191.84,0.00,2.10,3.00,14.23,3.32,-0.55,-3.17,2.03,0.00,6:00,rear end,12.20,359.99,753,1,2,4.99,2.12,359.99,10.91,1.29,151.96,191.84,174.89,191.83,756,1,2,3.56,1.88,359.99,14.23,2.03,107.52,191.85,164.80,191.84,0.00,1.30,99.00,
S000001_001.trj,1444.30,162.98,191.61,0.00,1.90,3.50,2.20,2.20,-1.92,-1.92,1.10,-1.06,6:02,rear end,1.10,359.99,758,1,2,4.32,2.06,1.05,0.00,1.10,162.96,191.61,175.06,191.83,768,1,2,4.32,2.06,359.99,2.20,1.10,154.41,191.84,158.64,191.84,1.00,0.40,99.00,
